name,position,Yahoo,Fantrax,FFC,Sleeper,AVG
Marlon Mack,RB,166,180,192,199,184.3
Emmanuel Sanders,WR,147,189,211,212,189.8
Ryan Fitzpatrick,QB,216,163,185,196,190.0
Zach Wilson,QB,184,191,202,184,190.3
Kansas City Chiefs,DST,130,253,205,179,191.8
Tyrell Williams,WR,136,244,181,207,192.0
Mark Ingram II,RB,162,235,169,208,193.5
Mason Crosby,K,205,242,197,156,200.0
Jalen Reagor,WR,182,170,,172,174.7
Robbie Gould,K,167,305,180,177,207.3
Darrel Williams,RB,193,225,170,216,201.0
Bryan Edwards,WR,,183,162,182,175.7
Sterling Shepard,WR,191,155,,185,177.0
Kenneth Gainwell,RB,,186,176,171,177.7
Blake Jarwin,TE,159,228,209,217,203.3
Miami Dolphins,DST,238,194,201,181,203.5
Deshaun Watson,QB,163,272,194,193,205.5
Derek Carr,QB,152,178,,222,184.0
Gabriel Davis,WR,,175,190,190,185.0
Amon-Ra St. Brown,WR,,193,196,173,187.3
Jamison Crowder,WR,187,157,,221,188.3
Matt Prater,K,230,277,156,186,212.3
T.Y. Hilton,WR,177,199,,198,191.3
Rashod Bateman,WR,212,166,,197,191.7
Devontae Booker,RB,,219,175,183,192.3
Daniel Carlson,K,232,215,204,206,214.3
Wil Lutz,K,121,260,203,,194.7
Ty'Son Williams,RB,213,174,,202,196.3
Jason Myers,K,228,274,210,158,217.5
Ty Johnson,RB,,210,166,225,200.3
Austin Hooper,TE,218,205,,188,203.7
Adam Trautman,TE,222,192,,201,205.0
Tony Jones Jr.,RB,,212,182,223,205.7
Tennessee Titans,DST,185,173,,,179.0
Cole Kmet,TE,227,218,,192,212.3
Malcolm Brown,RB,,231,198,215,214.7
Sam Darnold,QB,192,223,,237,217.3
Eric Ebron,TE,135,287,,243,221.7
Tre'Quan Smith,WR,,179,,200,189.5
Todd Gurley II,RB,174,207,,,190.5
Brandon McManus,K,224,227,208,,219.7
Daniel Jones,QB,219,201,,241,220.3
Anthony Firkser,TE,231,195,,236,220.7
Damien Williams,RB,,171,,214,192.5
Chicago Bears,DST,236,280,207,227,237.5
Matt Gay,K,221,292,173,,228.7
Seattle Seahawks,DST,188,209,,,198.5
Cam Newton,QB,134,266,,,200.0
Christian Kirk,WR,,181,,220,200.5
Marquez Valdes-Scantling,WR,,265,212,210,229.0
Teddy Bridgewater,QB,132,293,,,212.5
Green Bay Packers,DST,229,238,,229,232.0
Jerick McKinnon,RB,,302,195,235,244.0
Hayden Hurst,TE,210,221,,,215.5
Nick Folk,K,153,337,,,245.0
Dawson Knox,TE,155,278,,,216.5
Tarik Cohen,RB,,190,,247,218.5
Dallas Cowboys,DST,160,286,,,223.0
Parris Campbell,WR,,229,,213,221.0
Minnesota Vikings,DST,239,318,,204,253.7
New Orleans Saints,DST,237,254,,231,240.7
