player,position,injury_date,games_missed,body_part,site,condition
James Conner,RB,2020-09-14,0,Pedal,Ankle,Sprain\/Pull Unspecified
A.J. Brown,WR,2020-09-16,2,Knee,Unspecified,Bruise
Michael Pittman Jr.,WR,2020-09-17,0,Pedal,Toe,Sprain
Christian McCaffrey,RB,2020-09-20,6,Pedal,Ankle (high),Sprain
Saquon Barkley,RB,2020-09-20,14,Knee,ACL,Tear
Saquon Barkley,RB,2020-09-20,14,Knee,MCL,Sprain
Davante Adams,WR,2020-09-20,2,Thigh,Hamstring,Strain
Courtland Sutton,WR,2020-09-20,14,Knee,ACL,Tear
Courtland Sutton,WR,2020-09-20,14,Knee,MCL,Tear
Jerry Jeudy,WR,2020-09-20,0,Chest,Rib,Sprain\/Pull Unspecified
Dawson Knox,TE,2020-09-20,1,Head,Cranial,Concussion
Christian Kirk,WR,2020-09-20,1,Inguinal,Groin,Strain
Sterling Shepard,WR,2020-09-20,4,Pedal,Toe,Turf Toe
Darren Waller,TE,2020-09-23,0,Knee,Patella,Sprain
Darren Waller,TE,2020-09-23,0,Knee,Unspecified,Strain
JuJu Smith-Schuster,WR,2020-09-23,0,Knee,Unspecified,Strain
Michael Pittman Jr.,WR,2020-09-27,3,Leg,Calf,Strain
Chris Godwin,WR,2020-09-27,2,Thigh,Hamstring,Strain
Dallas Goedert,TE,2020-09-27,4,Pedal,Ankle,Fracture
DeAndre Hopkins,WR,2020-09-30,0,Pedal,Ankle,Sprain\/Pull Unspecified
Kareem Hunt,RB,2020-09-30,0,Inguinal,Groin,Strain
Sam Darnold,QB,2020-10-01,2,Shoulder,A\/C Joint,Sprain
Noah Fant,TE,2020-10-01,1,Pedal,Ankle,Sprain\/Pull Unspecified
Odell Beckham Jr.,WR,2020-10-01,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Mike Evans,WR,2020-10-04,0,Pedal,Ankle,Sprain
Austin Ekeler,RB,2020-10-04,6,Thigh,Hamstring,Strain
Nick Chubb,RB,2020-10-04,4,Knee,MCL,Sprain
Lamar Jackson,QB,2020-10-07,0,Knee,Patella,Sprain
